# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 1.e0 1.7005e2 3.77996e26
2.e-6 1.e0 1.7105e2 3.16078e26
2.e-6 1.e0 1.7205e2 2.6487e26
2.e-6 1.e0 1.7305e2 2.22351e26
2.e-6 1.e0 1.7405e2 1.86942e26
2.e-6 1.e0 1.7505e2 1.57594e26
2.e-6 1.e0 1.7605e2 1.32718e26
2.e-6 1.e0 1.7705e2 1.12035e26
2.e-6 1.e0 1.7805e2 9.46935e25
2.e-6 1.e0 1.7905e2 8.0126e25
2.e-6 1.e0 1.8005e2 6.78624e25
2.e-6 1.e0 1.8105e2 5.75361e25
2.e-6 1.e0 1.8205e2 4.88072e25
2.e-6 1.e0 1.8305e2 4.14513e25
2.e-6 1.e0 1.8405e2 3.52417e25
2.e-6 1.e0 1.8505e2 2.99554e25
2.e-6 1.e0 1.8605e2 2.54893e25
2.e-6 1.e0 1.8705e2 2.17035e25
2.e-6 1.e0 1.8805e2 1.84885e25
2.e-6 1.e0 1.8905e2 1.57593e25
2.e-6 1.e0 1.9005e2 1.34424e25
2.e-6 1.e0 1.9105e2 1.14664e25
2.e-6 1.e0 1.9205e2 9.78717e24
2.e-6 1.e0 1.9305e2 8.35721e24
2.e-6 1.e0 1.9405e2 7.13886e24
2.e-6 1.e0 1.9505e2 6.1003e24
2.e-6 1.e0 1.9605e2 5.21454e24
2.e-6 1.e0 1.9705e2 4.45949e24
2.e-6 1.e0 1.9805e2 3.81424e24
2.e-6 1.e0 1.9905e2 3.26283e24
2.e-6 5.75e0 6.0375e0 1.32886e34
2.e-6 5.75e0 7.0375e0 2.59914e34
2.e-6 5.75e0 8.0375e0 3.60788e34
2.e-6 5.75e0 9.0375e0 4.35579e34
2.e-6 5.75e0 1.00375e1 4.90586e34
2.e-6 5.75e0 1.10375e1 5.29443e34
2.e-6 5.75e0 1.20375e1 5.57745e34
2.e-6 5.75e0 1.30375e1 5.75845e34
2.e-6 5.75e0 1.40375e1 5.86124e34
2.e-6 5.75e0 1.50375e1 5.8974e34
2.e-6 5.75e0 1.60375e1 5.90263e34
2.e-6 5.75e0 1.70375e1 5.81764e34
2.e-6 5.75e0 1.80375e1 5.69552e34
2.e-6 5.75e0 1.90375e1 5.54763e34
2.e-6 5.75e0 2.00375e1 5.37508e34
2.e-6 5.75e0 2.10375e1 5.18076e34
2.e-6 5.75e0 2.20375e1 4.98468e34
2.e-6 5.75e0 2.30375e1 4.78017e34
2.e-6 5.75e0 2.40375e1 4.56989e34
2.e-6 5.75e0 2.50375e1 4.35658e34
